126,SCI,SPI,SCK,8
126,SPI,SS,3,A
127,GPIO,Port1,5,Read
127,GPIO,Port1,5,Write
127,GPT,GTETRG,A,
127,GPT,GTIOC1,A,
127,Interrupt,IRQ,0,
127,Interrupt,KR,5,
127,SCI,I2C,SDA,8
127,SCI,SPI,MOSI,8
127,SCI,UART,TX,8
127,SPI,SS,2,A
128,GPIO,Port1,4,Read
128,GPIO,Port1,4,Write
128,GPT,GTETRG,B,
128,GPT,GTIOC1,B,
128,Interrupt,IRQ,1,
128,Interrupt,KR,4,
128,SCI,I2C,SCL,8
128,SCI,SPI,MISO,8
128,SCI,UART,RX,8
128,SPI,SS,1,A
129,GPIO,Port1,3,Read
129,GPIO,Port1,3,Write
129,GPT,GTIOC2,A,A
129,GPT,GTOWUP,,
129,Interrupt,KR,3,
129,SCI,SPI,SS,0
129,SCI,UART,CTS,0
129,SCI,UART,RTS,0
129,SPI,SS,0,A
130,ADC,ADTRG,0,
130,GPIO,Port1,2,Read
130,GPIO,Port1,2,Write
130,GPT,GTIOC2,B,A
130,GPT,GTOWLO,,
130,Interrupt,KR,2,
130,SCI,SPI,SCK,0
130,SPI,CLK,A,A
131,GPIO,Port1,1,Read
131,GPIO,Port1,1,Write
131,GPT,GTETRG,B,
131,GPT,GTIOC5,A,
131,I2C,SDA,1.00,B
131,Interrupt,IRQ,1,
131,Interrupt,KR,1,
131,SCI,I2C,SDA,0
131,SCI,SPI,MOSI,0
131,SCI,SPI,SS,1
131,SCI,UART,CTS,1
131,SCI,UART,RTS,1
131,SCI,UART,TX,0
131,SPI,MOSI,A,A
132,GPIO,Port1,0,Read
132,GPIO,Port1,0,Write
132,GPT,GTETRG,A,
132,GPT,GTIOC5,B,
132,I2C,SCL,1.00,B
132,Interrupt,IRQ,2,
132,Interrupt,KR,0,
132,SCI,I2C,SCL,0
132,SCI,SPI,MISO,0
132,SCI,SPI,SCK,1
132,SCI,UART,RX,0
132,SPI,MISO,A,A
133,GPIO,Port8,0,Read
133,GPIO,Port8,0,Write
134,GPIO,Port8,1,Read
134,GPIO,Port8,1,Write
135,GPIO,Port8,2,Read
135,GPIO,Port8,2,Write
136,GPIO,Port8,3,Read
136,GPIO,Port8,3,Write
137,GPIO,Port8,4,Read
137,GPIO,Port8,4,Write
138,Power,VCC,,
139,Power,VSS,,
140,ADC,ADC0,16,
140,GPIO,Port5,0,Read
140,GPIO,Port5,0,Write
140,GPT,GTIOC11,A,
140,GPT,GTIU,,
140,QSPI,CLK,,
141,ADC,ADC1,16,
141,GPIO,Port5,1,Read
141,GPIO,Port5,1,Write
141,GPT,GTIOC11,B,
141,GPT,GTIV,,
141,Interrupt,IRQ,11,
141,QSPI,SS,,
141,SCI,I2C,SDA,5
141,SCI,SPI,MOSI,5
141,SCI,UART,TX,5
142,ADC,ADC0,17,
142,GPIO,Port5,2,Read
142,GPIO,Port5,2,Write
142,GPT,GTIOC12,A,
142,GPT,GTIW,,
142,Interrupt,IRQ,12,
142,QSPI,QIO,0,
142,SCI,I2C,SCL,5
142,SCI,SPI,MISO,5
142,SCI,UART,RX,5
143,ADC,ADC1,17,
143,GPIO,Port5,3,Read
143,GPIO,Port5,3,Write
143,GPT,GTETRG,C,
143,GPT,GTIOC12,B,
143,QSPI,QIO,1,
143,SCI,SPI,SCK,5
143,SCI,SPI,SS,6
143,SCI,UART,CTS,6
143,SCI,UART,RTS,6
144,ADC,ADC0,18,
144,GPIO,Port5,4,Read
144,GPIO,Port5,4,Write
144,GPT,GTETRG,D,
144,GPT,GTIOC13,A,
144,QSPI,QIO,2,
144,SCI,SPI,SCK,6
144,SCI,SPI,SS,5
144,SCI,UART,CTS,5
144,SCI,UART,RTS,5
145,ADC,ADC1,18,
145,GPIO,Port5,5,Read
145,GPIO,Port5,5,Write
145,GPT,GTIOC13,B,
145,Interrupt,IRQ,14,
145,QSPI,QIO,3,
145,SCI,I2C,SCL,6
145,SCI,SPI,MISO,6
145,SCI,UART,RX,6
146,ADC,ADC0,19,
146,GPIO,Port5,6,Read
146,GPIO,Port5,6,Write
146,Interrupt,IRQ,15,
146,SCI,I2C,SDA,6
146,SCI,SPI,MOSI,6
146,SCI,UART,TX,6
147,ADC,ADC1,19,
147,GPIO,Port5,7,Read
147,GPIO,Port5,7,Write
147,SCI,SPI,SS,5
147,SCI,UART,CTS,5
147,SCI,UART,RTS,5
148,ADC,ADC0,20,
148,GPIO,Port5,8,Read
148,GPIO,Port5,8,Write
148,SCI,SPI,SCK,5
148,SCI,SPI,SCK,6
149,Power,VCC,,
150,Power,VSS,,
151,ADC,ADC0,6,
151,ADC,ADC1,6,
151,GPIO,Port0,15,Read
151,GPIO,Port0,15,Write
151,Interrupt,IRQ,13,
152,ADC,ADC0,5,
152,ADC,ADC1,5,
152,GPIO,Port0,14,Read
152,GPIO,Port0,14,Write
153,ADC,Vref,L,
154,ADC,Vref,H,
155,ADC,Power,,
156,ADC,Power,,
157,ADC,Vref,L,0
158,ADC,Vref,H,0
159,ADC,ADC1,3,
159,GPIO,Port0,10,Read
159,GPIO,Port0,10,Write
159,Interrupt,IRQ,14,DS
160,ADC,ADC0,4,
160,GPIO,Port0,9,Read
160,GPIO,Port0,9,Write
160,Interrupt,IRQ,13,DS
161,ADC,ADC0,3,
161,GPIO,Port0,8,Read
161,GPIO,Port0,8,Write
161,Interrupt,IRQ,12,DS
162,ADC,ADC1,7,
162,ADC,PGAVSS,1,
162,GPIO,Port0,7,Read
163,ADC,ADC1,2,
163,GPIO,Port0,6,Read
163,Interrupt,IRQ,11,DS
164,ADC,ADC1,1,
164,GPIO,Port0,5,Read
164,Interrupt,IRQ,10,DS
165,ADC,ADC1,0,
165,GPIO,Port0,4,Read
165,Interrupt,IRQ,9,DS
166,ADC,ADC0,7,
166,ADC,PGAVSS,0,
166,GPIO,Port0,3,Read
167,ADC,ADC0,2,
